,Downloaded,pos_x,pos_y,pos_z,cm_x,cm_y,cm_z,mass,sfr,halfmassrad,m_stars,Z_gas,m_gas
6,0,8613.12,23953.8,21985.1,8612.76,23954.5,21984.9,46.157,6.73157,35.0404,3.96774,0.0211006,3.21215
9,0,8271.08,23637.5,20376.7,8270.53,23633.2,20382.4,27.3716,2.40258,38.2043,1.67019,0.0222836,1.367
11,0,6532.8,23619.6,20125.7,6531.48,23621.5,20124.1,17.0492,1.59666,31.9326,0.913152,0.0337458,1.4356
12,0,8531.28,24028.3,21724.9,8534.21,24027.7,21724.8,14.6955,3.17895,26.2995,1.01771,0.024496,1.13093
13,0,8055.44,24388.5,21570.6,8055.69,24390.2,21570.0,12.7041,2.02747,21.7713,1.06896,0.0342713,0.620024
14,0,7105.23,24308.2,20402.5,7105.93,24309.6,20399.6,11.9485,2.1927,26.7192,1.05988,0.0361607,0.357822
16,0,7648.86,23933.3,20589.2,7647.91,23933.6,20589.5,7.14611,2.20645,11.0735,1.50966,0.0543662,0.080872
17,0,8408.85,23404.1,20238.9,8409.07,23404.0,20238.9,8.47619,1.58052,16.1834,0.896457,0.0219857,0.517009
25243,0,5863.02,25292.1,23404.5,5860.8,25285.9,23395.5,38.1134,4.90937,43.2437,2.73738,0.0195681,2.92403
25244,0,6114.31,25685.5,22467.8,6111.77,25676.8,22468.9,21.1326,4.92912,39.8314,0.446542,0.0113809,3.01622
25247,0,6901.69,25429.3,23198.1,6900.78,25429.7,23198.9,8.41854,1.96433,15.0445,1.2909,0.0348325,0.351517
25249,0,7023.24,25947.8,23425.0,7020.76,25947.2,23424.7,8.69581,3.10989,16.5641,0.82753,0.0285218,0.625738
41133,0,28006.2,7362.91,3055.15,27996.6,7327.2,3113.95,36.0524,5.62053,79.2965,0.880004,0.0156972,5.61736
41137,0,28135.7,7578.03,4159.32,28134.6,7577.71,4159.1,14.4536,9.86089,14.2131,2.84521,0.0403202,0.534635
41138,0,27772.5,7271.69,3879.84,27772.7,7271.77,3879.36,18.7116,7.05056,30.7699,0.591676,0.0111198,2.37486
41139,0,27457.1,6757.64,4804.86,27453.5,6753.3,4802.94,18.2533,6.8867,36.4423,0.646947,0.0192055,1.76772
41140,0,28017.4,7242.39,3353.08,28016.6,7243.95,3353.67,12.9625,5.71443,24.4948,0.979672,0.0223298,1.56288
